,Pointing,SCA,BAND,zeropoint,RA,DEC,date,true mag,true flux,DETECTED,mag,flux,Residual Mean,Residual Mean Central,SNID
39,51530,13,F184,14.621993991019696,7.295661134881736,-44.60882049207417,62667.136,3.57755919,26168.2043,True,3.585824391602765,25969.658777914232,1.1241142740931886,2.6962982847165,50129236
40,2589,10,F184,14.62199399113461,7.029281330060801,-44.71063457092921,62031.5067,,,False,,,807.9696780497115,125.04968829183996,30597443
41,14136,17,F184,14.621993991104898,7.097211625412694,-44.648275154200256,62181.473,,,False,,,812.553334399219,-10.480758071109053,30597443
42,12985,17,F184,14.621993991127866,6.946770714389329,-44.66985014296616,62166.529,,,False,,,774.4060678763951,-296.0837145258311,30597443
43,9945,6,F184,14.621993991135149,7.015160361027236,-44.65020813080159,62127.069,,,False,,,738.7429588215177,272.10869856562863,30597443
44,9565,1,F184,14.621993990935133,7.090122601638757,-44.62047255792843,62122.136,,,False,,,706.8733659311545,145.14408864268717,30597443
45,16449,1,F184,14.621993990965832,7.080696585987885,-44.61932078467006,62211.507,,,False,,,664.0767525878553,-13.557489557297856,30597443
46,7258,7,F184,14.621993991084718,7.0825131378296655,-44.64123576793625,62092.1699,,,False,,,708.9058369410758,382.7452560843216,30597443
47,6873,9,F184,14.621993991191347,7.0431935459741615,-44.6301836578434,62087.1699,,,False,,,717.82497486548,-50.23373644883253,30597443
48,6099,4,F184,14.621993991084484,7.039488292255958,-44.652209584727466,62077.1137,,,False,,,723.8843120234355,537.0992745074632,30597443
49,9181,9,F184,14.621993991223947,7.136028805626186,-44.68906757362209,62117.147,,,False,,,666.504613368236,257.2942685924367,30597443
50,51910,3,F184,14.62199399108389,7.004725749257508,-44.62407880205059,62672.069,5.0433842,6783.34515,True,5.073928852415859,6595.146681143102,1.125567464369272,-1.1211071758886415,30597443
51,41090,17,F184,14.621993991127866,6.946770714389329,-44.66985014296616,62531.529,5.09493195,6468.81629,True,5.0857291138407135,6523.855821246157,1.3855816978392337,-0.5159218591811542,30597443
52,42241,17,F184,14.621993991104898,7.097211625412694,-44.648275154200256,62546.473,3.74848224,22356.5455,True,3.749057948868988,22344.612135750915,1.3936152757736673,7.863111257722881,30597443
53,44554,1,F184,14.621993990965832,7.080696585987885,-44.61932078467006,62576.507,4.27377496,13781.2183,True,4.295960329315438,13502.42794202094,1.133264498436086,7.243851405159785,30597443
54,44939,17,F184,14.621993991060249,7.010499855862544,-44.63873274185005,62581.507,4.57611855,10431.582,True,4.606905633285294,10139.901743924967,1.3602444122738746,6.037111309857315,30597443
55,48064,9,F184,14.621993991105162,7.028963937970935,-44.731439278739145,62622.114,4.3041445,13401.0799,True,4.330331010428798,13081.682243449706,1.1273661084837856,-0.3809462609891428,30597443
56,48454,2,F184,14.62199399103906,7.039450878184763,-44.73996873262991,62627.181,4.36235358,12701.5336,True,4.406499600531337,12195.403099290896,1.0270145787061815,-2.996181274187526,30597443
57,49223,8,F184,14.621993991139853,7.0389936196778615,-44.64852500610809,62637.17,4.50130341,11175.7385,True,4.503323064817735,11154.92806724053,1.030642306705043,0.50435647440693,30597443
58,51530,14,F184,14.621993991114024,7.1340772840342765,-44.69996692962852,62667.136,4.97968735,7193.20862,True,4.941739775582777,7449.036284926205,1.1646486479434737,3.8531360402690096,30597443
59,51915,4,F184,14.621993991205748,7.111069183852868,-44.6914862384993,62672.136,5.04413683,6778.64461,True,5.039307436843677,6808.838375623892,1.203415839024471,1.3972344060920447,30597443
60,1047,11,F184,14.621993990657442,7.703002858123528,-44.48492497001504,62011.4842,,,False,,,770.7921491019076,-101.31390439185252,50134575
61,3369,18,F184,14.621993990709962,7.770884944301203,-44.40839301210492,62041.6416,,,False,,,872.5262614987196,269.82171827942204,50134575
62,2989,7,F184,14.621993990722071,7.69071081311458,-44.455444546261326,62036.709,,,False,,,740.7268771385902,-147.00168182367986,50134575
63,2984,2,F184,14.621993990638988,7.733107587595517,-44.46802290962879,62036.6416,,,False,,,763.8442008744282,540.6131434487188,50134575
64,2594,6,F184,14.621993990560668,7.71799347917342,-44.491620967409,62031.5741,,,False,,,922.6472964966144,474.8555113710263,50134575
65,3374,1,F184,14.621993990695366,7.7007177017278,-44.47549656254536,62041.709,,,False,,,776.6095874469775,574.1834300736618,50134575
66,1818,2,F184,14.621993990476922,7.700926038354517,-44.49444465481915,62021.4955,,,False,,,647.6865267101507,94.82804373855026,50134575
67,1433,7,F184,14.621993990844016,7.790187120795253,-44.469740441586254,62016.4955,,,False,,,796.1711566640042,158.35376565902413,50134575
68,1052,13,F184,14.621993990964388,7.796262400507473,-44.47509109871683,62011.5517,,,False,,,772.8094207146166,554.0560716950549,50134575
69,2208,13,F184,14.62199399075609,7.642726241938062,-44.46777513538792,62026.5629,,,False,,,728.146348447201,-89.63519011692472,50134575
70,53435,6,F184,14.621993990709704,7.743344940492101,-44.45792824491742,62691.866,3.54843116,26879.7443,True,3.5668665000187527,26427.09342299509,1.345176443671083,-16.727969582405173,50134575
71,51141,2,F184,14.621993990647583,7.655856082310974,-44.45725884617416,62662.08,5.16859657,6044.4803,True,5.179580860027297,5983.615189749548,1.3922133788621085,9.876255490561592,50134575
72,51905,13,F184,14.621993990933492,7.739363608564331,-44.38725536927093,62672.001,4.05832273,16806.1604,True,4.046959981953629,16982.906055440904,1.125268755120788,3.988607330835124,50134575
73,52285,14,F184,14.621993990827049,7.695203441600884,-44.43552976512713,62676.934,3.70806388,23204.491,True,3.731811350825616,22702.383706478355,1.2153470154292805,-1.3495372045645684,50134575
74,52665,18,F184,14.621993990658847,7.70223128471895,-44.5048901420526,62681.866,3.58267388,26045.2208,True,3.568038899757992,26398.57231885778,1.1867261437357708,-5.633665486750659,50134575
75,52670,1,F184,14.62199399067942,7.814689058572451,-44.44539455858299,62681.934,3.58124849,26079.4363,True,3.603210458672905,25557.114373659555,1.3679703141969184,6.683946964354653,50134575
76,53050,11,F184,14.62199399057783,7.7284597096030385,-44.49403653841468,62686.866,3.52149717,27554.8931,True,3.561778053827034,26551.23817152482,1.0695221676215645,3.488558877804902,50134575
77,53055,9,F184,14.62199399068138,7.696401286114845,-44.46166359632246,62686.934,3.52108292,27565.4082,True,3.5540150793403864,26741.75885784332,1.1184013765437677,-6.122037391470845,50134575
78,53430,14,F184,14.621993990578805,7.740213959887281,-44.5131217442252,62691.799,3.54751395,26902.4613,True,3.5478040317575434,26895.17579436896,1.200419254893867,17.13111577476955,50134575
79,53815,3,F184,14.621993990803889,7.708820342036675,-44.44717401696902,62696.799,3.62493299,25050.9615,True,3.620363212516777,25156.52878854512,1.1333878529789445,3.6183477339113175,50134575
80,276,6,F184,14.621993990792497,7.922103653698726,-44.58768630626399,62001.47298,,,False,,,664.0584881269406,156.71610965392,50022453
81,3369,11,F184,14.6219939907791,7.79349551428683,-44.68328568393184,62041.6416,,,False,,,805.2403121710917,19.331400995218587,50022453
82,2984,5,F184,14.621993990967685,7.766601424642385,-44.604364710522674,62036.6416,,,False,,,718.2921962117241,74.15204278669455,50022453
83,2208,1,F184,14.621993990837131,7.919516142881567,-44.65618771063989,62026.5629,,,False,,,783.3857100472135,-91.07885451223706,50022453
84,2203,12,F184,14.621993990843732,7.844878146997986,-44.65771237847385,62026.4955,,,False,,,766.646194647897,136.14445606131136,50022453
85,3374,5,F184,14.621993990873678,7.902111549048101,-44.58551683511203,62041.709,,,False,,,822.1059543407539,-198.22864226237704,50022453
86,1432,15,F184,14.62199399084544,7.7706231761789,-44.61761320181311,62016.4842,,,False,,,717.260895428456,-142.37273924042785,50022453
87,1047,1,F184,14.621993990978789,7.813150873273256,-44.66854967750802,62011.4842,,,False,,,645.7067970285614,177.90189637074965,50022453
88,286,18,F184,14.621993990815769,7.910412373550909,-44.65304925259423,62001.60787,,,False,,,748.8426180795675,-120.382073009769,50022453
89,1818,5,F184,14.621993990949411,7.824593145193432,-44.60117620521591,62021.4955,,,False,,,756.9001096713662,141.7177459811678,50022453
90,53810,16,F184,14.621993991136664,7.854374854022226,-44.60791045741591,62696.732,3.45072425,29410.8718,True,3.4634870732474816,29067.064257185648,1.126283309688362,-1.6670573618793676,50022453
91,51526,1,F184,14.621993990846567,7.907191246523874,-44.62452222659422,62667.08,5.17123712,6029.79778,True,5.191170673817332,5920.082112137435,1.0970989959997612,6.487004219923401,50022453
92,51911,8,F184,14.621993990729068,7.819942782780941,-44.669251828713165,62672.08,4.35624265,12773.2243,True,4.389426789820334,12388.687097900534,1.14998796528294,-10.05129267646124,50022453
93,52670,10,F184,14.62199399097292,7.8433780144693666,-44.57964348384485,62681.934,3.55954349,26606.0377,True,3.557513504923921,26655.731062881896,1.2496935081381926,2.7051533147907336,50022453
