filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,52120,1,62675.579,18.038187500002095,True,15.023547190778997,7.32421576,1201.52434,1144.0,Y106,1743.2356009816954,4690.640526384086,0.056840554,21.539,478
Y106,52500,2,62680.553,13.064187500000116,True,15.023547190692026,6.38504694,2853.64603,2953.0,Y106,4317.110075578782,4690.640526384086,0.056840554,21.539,478
Y106,53645,2,62695.501,1.8838124999965657,True,15.023547190780961,5.36206158,7321.40182,7276.0,Y106,6161.152743826067,4690.640526384086,0.056840554,21.539,478
Y106,54405,4,62705.45,11.83281249999709,True,15.023547190783017,5.46848636,6637.80258,6716.0,Y106,7110.10986893349,4690.640526384086,0.056840554,21.539,478
Y106,54785,8,62710.424,16.80681249999907,True,15.023547190690255,5.58723625,5950.10155,5946.0,Y106,7213.371806698865,4690.640526384086,0.056840554,21.539,478
Y106,52885,9,62685.553,8.064187500000116,True,15.023547190649742,5.78286993,4969.02182,4991.0,Y106,7650.83768439647,4690.640526384086,0.056840554,21.539,478
Y106,52880,11,62685.527,8.090187499998137,True,15.023547190685399,5.78502746,4959.15738,4919.0,Y106,5378.0131879986175,4690.640526384086,0.056840554,21.539,478
Y106,53640,13,62695.476,1.8588125000023865,True,15.023547190569449,5.36233691,7319.54548,7130.0,Y106,6935.1578953936005,4690.640526384086,0.056840554,21.539,478
Y106,54791,17,62710.454,16.836812499997905,True,15.02354719079147,5.58821096,5944.7623,5940.0,Y106,5950.795578518041,4690.640526384086,0.056840554,21.539,478
Y106,52495,18,62680.527,13.090187499998137,True,15.023547190752977,6.38743805,2847.36836,2861.0,Y106,2910.616625098583,4690.640526384086,0.056840554,21.539,478
