filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,44779,1,62580.441,60.925374999998894,True,15.023547190973076,7.11608993,1455.40179,1409.0,Y106,1434.6431318505886,301.27939827379305,0.094534606,25.194,450
Y106,44389,5,62575.415,55.89937500000087,True,15.023547191050763,7.01896022,1591.60314,1592.0,Y106,1707.9307678738917,301.27939827379305,0.094534606,25.194,450
Y106,47504,7,62615.596,96.08037499999773,True,15.023547190993696,7.79744642,777.034511,793.0,Y106,892.986989103519,301.27939827379305,0.094534606,25.194,450
Y106,41310,11,62535.424,15.908374999999069,True,15.023547190863534,5.41999799,6940.9622,7010.0,Y106,7031.707842822401,301.27939827379305,0.094534606,25.194,450
Y106,42076,13,62545.402,25.886375000001863,True,15.023547190801597,5.87838489,4550.56078,4531.0,Y106,4470.182474896298,301.27939827379305,0.094534606,25.194,450
Y106,40930,14,62530.45,10.93437499999709,True,15.023547190848655,5.28134856,7886.41185,7862.0,Y106,8210.799487936223,301.27939827379305,0.094534606,25.194,450
Y106,44774,15,62580.415,60.89937500000087,True,15.023547190912613,7.11557809,1456.08805,1425.0,Y106,1501.7785936768562,301.27939827379305,0.094534606,25.194,450
Y106,43232,16,62560.407,40.89137499999924,True,15.023547190846555,6.57458173,2396.5483,2441.0,Y106,2306.8349399139606,301.27939827379305,0.094534606,25.194,450
Y106,40545,16,62525.45,5.93437499999709,True,15.023547190912776,5.23490899,8231.05073,8318.0,Y106,8466.419575641023,301.27939827379305,0.094534606,25.194,450
Y106,40550,18,62525.476,5.9603750000023865,True,15.023547190816798,5.23499634,8230.38862,8194.0,Y106,7769.064913274354,301.27939827379305,0.094534606,25.194,450
