filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,30143,2,62390.411,13.788218749999942,True,15.023547190874712,5.72856622,5223.87034,5232.0,Y106,5254.979014922803,356.06085469546156,0.21151984,24.986,447
Y106,32864,4,62425.545,21.345781249998254,True,15.02354719101669,5.40097711,7063.63147,7153.0,Y106,7136.156807179794,356.06085469546156,0.21151984,24.986,447
Y106,31309,5,62405.467,1.267781249996915,True,15.023547191143265,5.14536113,8938.70131,8809.0,Y106,8890.02398444874,356.06085469546156,0.21151984,24.986,447
Y106,30919,6,62400.441,3.758218750001106,True,15.023547191157423,5.19817861,8514.27028,8547.0,Y106,8807.005548129731,356.06085469546156,0.21151984,24.986,447
Y106,32089,8,62415.519,11.319781250000233,True,15.023547190828793,5.20432962,8466.17084,8605.0,Y106,8875.809841251965,356.06085469546156,0.21151984,24.986,447
Y106,32084,10,62415.493,11.293781250002212,True,15.023547190892636,5.20394605,8469.16232,8376.0,Y106,8425.577764361256,356.06085469546156,0.21151984,24.986,447
Y106,29757,14,62385.407,18.792218750000757,True,15.023547190706564,6.19172267,3409.80707,3457.0,Y106,3561.6969880414795,356.06085469546156,0.21151984,24.986,447
Y106,31694,14,62410.467,6.267781249996915,True,15.023547190986598,5.14846041,8913.22181,8823.0,Y106,8803.873718387038,356.06085469546156,0.21151984,24.986,447
Y106,30528,15,62395.411,8.788218749999942,True,15.02354719077205,5.37782293,7215.88671,7165.0,Y106,7058.314883514159,356.06085469546156,0.21151984,24.986,447
Y106,31304,15,62405.441,1.241781249998894,True,15.023547191260503,5.14543705,8938.07625,8967.0,Y106,8614.37984204191,356.06085469546156,0.21151984,24.986,447
