filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,38270,5,62495.631,35.45493749999878,True,15.023547191123622,6.54495452,2462.84494,2548.0,Y106,2549.776220311603,66.44605562211655,0.17470838,25.508,389
Y106,44389,8,62575.415,44.32906250000087,True,15.023547191166555,6.57566496,2394.15847,2394.0,Y106,2438.6701820971834,66.44605562211655,0.17470838,25.508,389
Y106,47894,9,62620.622,89.53606250000303,True,15.023547190957498,7.20016149,1346.9587,1312.0,Y106,1414.1182431979053,66.44605562211655,0.17470838,25.508,389
Y106,41310,10,62535.424,4.338062499999069,True,15.023547191066648,5.52604575,6295.0702,6361.0,Y106,6371.937227006381,66.44605562211655,0.17470838,25.508,389
Y106,45164,10,62585.441,54.355062499998894,True,15.023547191049351,6.69057302,2153.72212,2188.0,Y106,1955.6014412499546,66.44605562211655,0.17470838,25.508,389
Y106,44774,11,62580.415,49.32906250000087,True,15.023547191005175,6.63911057,2258.26368,2219.0,Y106,2435.8373754415447,66.44605562211655,0.17470838,25.508,389
Y106,42461,14,62550.402,19.316062500001863,True,15.023547191242834,5.97136576,4177.07789,4220.0,Y106,4127.615137980046,66.44605562211655,0.17470838,25.508,389
Y106,41315,15,62535.45,4.36406249999709,True,15.023547191282471,5.52659678,6291.87611,6263.0,Y106,6108.2558108676585,66.44605562211655,0.17470838,25.508,389
Y106,38265,15,62495.605,35.4809374999968,True,15.023547191187184,6.54665769,2458.98456,2348.0,Y106,2392.345578443866,66.44605562211655,0.17470838,25.508,389
Y106,44388,16,62575.411,44.32506250000006,True,15.023547191247014,6.5756074,2394.28541,2415.0,Y106,2217.6094661356624,66.44605562211655,0.17470838,25.508,389
