filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,34423,2,62445.644,1.4927187499997672,True,15.023547190958716,6.93858786,1713.89311,1751.0,Y106,1945.067366769549,143.6470718777765,0.028832784,25.299,426
Y106,33264,3,62430.622,16.514718749996973,True,15.02354719099529,6.89351406,1786.54209,1872.0,Y106,1935.2771213922515,143.6470718777765,0.028832784,25.299,426
Y106,35577,6,62460.639,13.502281250002852,True,15.023547191058197,7.15350416,1406.10325,1449.0,Y106,1496.8484212663411,143.6470718777765,0.028832784,25.299,426
Y106,34418,7,62445.618,1.518718749997788,True,15.02354719113056,6.93809558,1714.67038,1640.0,Y106,1476.6801028596035,143.6470718777765,0.028832784,25.299,426
Y106,34033,8,62440.618,6.518718749997788,True,15.023547191156407,6.89632937,1781.91559,1870.0,Y106,1854.2406098073595,143.6470718777765,0.028832784,25.299,426
Y106,35582,11,62460.665,13.528281250000873,True,15.023547190996625,7.15412756,1405.29614,1384.0,Y106,1685.886108000698,143.6470718777765,0.028832784,25.299,426
Y106,34813,13,62450.669,3.532281250001688,True,15.023547191026138,6.97590868,1655.98121,1674.0,Y106,1714.1818377815048,143.6470718777765,0.028832784,25.299,426
Y106,33649,13,62435.622,11.514718749996973,True,15.02354719103178,6.89209086,1788.88545,1835.0,Y106,1686.6642925170643,143.6470718777765,0.028832784,25.299,426
Y106,33654,15,62435.648,11.488718749998952,True,15.023547191092536,6.8917869,1789.38634,1780.0,Y106,1686.7306179131533,143.6470718777765,0.028832784,25.299,426
Y106,34039,16,62440.648,6.488718749998952,True,15.023547191084452,6.89640159,1781.79707,1742.0,Y106,1735.6261050085382,143.6470718777765,0.028832784,25.299,426
