filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,32864,1,62425.545,4.029218750001746,True,15.023547191196295,5.4270798,6895.83653,6985.0,Y106,7084.588669965458,14.529280689994133,1.1400888,24.985,378
Y106,33254,1,62430.57,0.995781249999709,True,15.023547191245461,5.40474408,7039.16662,7111.0,Y106,7185.297543184912,14.529280689994133,1.1400888,24.985,378
Y106,31699,2,62410.493,19.081218749997788,True,15.023547191521757,6.29242325,3107.77506,3103.0,Y106,3136.3540481926448,14.529280689994133,1.1400888,24.985,378
Y106,32479,5,62420.545,9.029218750001746,True,15.0235471916082,5.57476646,6018.833,6057.0,Y106,5902.904066869364,14.529280689994133,1.1400888,24.985,378
Y106,34803,6,62450.618,21.043781250002212,True,15.02354719143269,5.72327649,5249.38323,5387.0,Y106,5382.221847684379,14.529280689994133,1.1400888,24.985,378
Y106,31314,8,62405.493,24.081218749997788,True,15.023547191144539,6.82135612,1909.30992,1897.0,Y106,1880.8676039222335,14.529280689994133,1.1400888,24.985,378
Y106,32084,13,62415.493,14.081218749997788,True,15.023547191458016,5.88708956,4514.22345,4447.0,Y106,4252.257097379397,14.529280689994133,1.1400888,24.985,378
Y106,34034,14,62440.622,11.047781250003027,True,15.023547191412446,5.49785656,6460.65056,6522.0,Y106,6464.281823246342,14.529280689994133,1.1400888,24.985,378
Y106,34424,17,62445.648,16.073781250001048,True,15.023547191261256,5.60149206,5872.48685,5876.0,Y106,5836.147173991812,14.529280689994133,1.1400888,24.985,378
Y106,31694,17,62410.467,19.107218750003085,True,15.02354719105109,6.2947191,3101.21043,3048.0,Y106,3078.3611897110122,14.529280689994133,1.1400888,24.985,378
