filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,30144,2,62390.415,29.963906249999127,True,15.02354719121605,6.8683909,1828.3634,1804.0,Y106,1663.3496306160828,5.914914828899782,2.3350792,23.654,291
Y106,33654,2,62435.648,15.269093750001048,True,15.023547191094837,4.5893985,14916.2439,14887.0,Y106,14682.486632509206,5.914914828899782,2.3350792,23.654,291
Y106,37880,3,62490.605,70.2260937500032,True,15.023547191142232,5.5971652,5895.93651,5866.0,Y106,6011.02512987268,5.914914828899782,2.3350792,23.654,291
Y106,36351,3,62470.661,50.28209375000006,True,15.023547190989463,5.27518357,7931.31959,7914.0,Y106,8234.618642098734,5.914914828899782,2.3350792,23.654,291
Y106,34813,4,62450.669,30.290093750001688,True,15.023547191265534,4.85997352,11625.9773,11674.0,Y106,11534.053030383862,5.914914828899782,2.3350792,23.654,291
Y106,34428,6,62445.669,25.290093750001688,True,15.02354719118026,4.74751565,12894.7408,12821.0,Y106,12694.094851560074,5.914914828899782,2.3350792,23.654,291
Y106,35967,7,62465.665,45.28609375000087,True,15.023547191159624,5.18392687,8626.76817,8664.0,Y106,8756.28143001191,5.914914828899782,2.3350792,23.654,291
Y106,33264,8,62430.622,10.243093750003027,True,15.02354719125901,4.5504981,15460.3612,15456.0,Y106,15386.264710539912,5.914914828899782,2.3350792,23.654,291
Y106,37120,13,62480.657,60.27809374999924,True,15.023547191063468,5.45977168,6691.29544,6686.0,Y106,6947.511429540808,5.914914828899782,2.3350792,23.654,291
Y106,29758,17,62385.411,34.96790624999994,True,15.023547191059626,8.03861384,622.262083,591.0,Y106,588.2178887588963,5.914914828899782,2.3350792,23.654,291
