filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,50971,2,62660.609,22.23475000000326,True,15.02354719106644,9.20889653,211.767966,232.0,Y106,-2141.8679937016595,9623.706143152966,0.038756434,20.257,513
Y106,53265,4,62690.527,7.683250000001863,True,15.023547190968033,3.80613943,30687.6126,30521.0,Y106,30939.000779606406,9623.706143152966,0.038756434,20.257,513
Y106,51351,6,62665.583,17.26075000000128,True,15.023547190585365,5.34196519,7458.17894,7515.0,Y106,8020.364336447723,9623.706143152966,0.038756434,20.257,513
Y106,52885,7,62685.553,2.7092499999998836,True,15.023547190933888,3.58513775,37615.2346,37672.0,Y106,39782.650406241984,9623.706143152966,0.038756434,20.257,513
Y106,54410,9,62705.476,22.632250000002387,True,15.023547191071616,3.79460883,31015.2542,30946.0,Y106,31239.516872075583,9623.706143152966,0.038756434,20.257,513
Y106,54030,9,62700.501,17.657249999996566,True,15.023547191031101,3.88505168,28536.3355,28573.0,Y106,29296.060098178885,9623.706143152966,0.038756434,20.257,513
Y106,52880,10,62685.527,2.6832500000018626,True,15.023547190808545,3.58420677,37647.5023,37535.0,Y106,37198.85908069422,9623.706143152966,0.038756434,20.257,513
Y106,52115,17,62675.553,7.290750000000116,True,15.023547191045767,3.58399409,37654.8776,37850.0,Y106,34425.4703453402,9623.706143152966,0.038756434,20.257,513
Y106,52495,17,62680.527,2.3167499999981374,True,15.023547190735584,3.50868619,40359.3719,40405.0,Y106,37241.731165029494,9623.706143152966,0.038756434,20.257,513
Y106,54411,18,62705.48,22.6362500000032,True,15.023547190903146,3.79456198,31016.5925,30971.0,Y106,31575.834658188392,9623.706143152966,0.038756434,20.257,513
