filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,37880,5,62490.605,1.8871874999967986,True,15.023547190934426,5.27218545,7953.25114,7919.0,Y106,8297.311287716795,0.09901639145391528,1.2831914,24.836,323
Y106,36731,6,62475.635,16.857187499997963,True,15.023547190951383,5.46568957,6654.92323,6644.0,Y106,6872.55588336527,0.09901639145391528,1.2831914,24.836,323
Y106,38260,6,62495.579,3.0868124999979045,True,15.023547191327106,5.34047263,7468.43874,7674.0,Y106,7393.427632345386,0.09901639145391528,1.2831914,24.836,323
Y106,40165,12,62520.476,27.983812500002387,True,15.023547190888006,6.06670606,3825.92499,3792.0,Y106,3651.6357619173127,0.09901639145391528,1.2831914,24.836,323
Y106,37495,12,62485.605,6.887187499996799,True,15.023547191121454,5.27351535,7943.51533,7871.0,Y106,7876.304804439332,0.09901639145391528,1.2831914,24.836,323
Y106,37875,12,62490.579,1.9131875000020955,True,15.023547191343361,5.27213955,7953.58739,7960.0,Y106,7732.931724196546,0.09901639145391528,1.2831914,24.836,323
Y106,40160,13,62520.45,27.95781249999709,True,15.023547191030397,6.06596701,3828.53017,3767.0,Y106,3579.825223327637,0.09901639145391528,1.2831914,24.836,323
Y106,39780,14,62515.476,22.983812500002387,True,15.023547191314218,5.91354641,4405.55179,4474.0,Y106,4582.135993460382,0.09901639145391528,1.2831914,24.836,323
Y106,37115,14,62480.631,11.861187499998778,True,15.023547191279263,5.34870554,7412.02132,7359.0,Y106,7238.242687789572,0.09901639145391528,1.2831914,24.836,323
Y106,39400,15,62510.501,18.008812499996566,True,15.023547191162512,5.76758016,5039.49259,5024.0,Y106,5082.759319009035,0.09901639145391528,1.2831914,24.836,323
