filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,53270,3,62690.553,24.482687499999884,True,15.023547190753996,6.83876707,1878.93626,1872.0,Y106,1398.86291447163,1104.1407719874987,0.3576866,22.735,505
Y106,52890,5,62685.579,19.508687499997905,True,15.023547190883331,6.82439512,1903.97318,1979.0,Y106,2410.856792979342,1104.1407719874987,0.3576866,22.735,505
Y106,51361,5,62665.635,0.43531249999796273,True,15.023547190904969,7.11175862,1461.21939,1506.0,Y106,1779.8487882248103,1104.1407719874987,0.3576866,22.735,505
Y106,52125,10,62675.605,9.534687500003201,True,15.023547190908278,6.83214286,1890.43493,1878.0,Y106,2004.9714993334599,1104.1407719874987,0.3576866,22.735,505
Y106,54030,11,62700.501,34.430687499996566,True,15.02354719080153,6.88088547,1807.44332,1899.0,Y106,2181.1718387729734,1104.1407719874987,0.3576866,22.735,505
Y106,53650,11,62695.527,29.456687500001863,True,15.023547191102397,6.85725112,1847.21917,1897.0,Y106,2363.3768932663006,1104.1407719874987,0.3576866,22.735,505
Y106,50976,12,62660.635,5.435312499997963,True,15.023547191153279,7.88954607,713.839289,758.0,Y106,189.1582845541285,1104.1407719874987,0.3576866,22.735,505
Y106,52885,14,62685.553,19.482687499999884,True,15.023547191034906,6.82433733,1904.07453,1919.0,Y106,2230.241596861874,1104.1407719874987,0.3576866,22.735,505
Y106,53265,17,62690.527,24.456687500001863,True,15.023547190993774,6.83867926,1879.08823,1838.0,Y106,2325.0342933903717,1104.1407719874987,0.3576866,22.735,505
Y106,52120,18,62675.579,9.508687499997905,True,15.023547190910255,6.83221647,1890.30676,1818.0,Y106,1423.268224838185,1104.1407719874987,0.3576866,22.735,505
