filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,37880,3,62490.605,7.648906249996799,True,15.023547191142232,5.26510267,8005.30364,7970.0,Y106,8190.852847794436,69.86436208104715,0.19983031,25.728,449
Y106,41305,6,62535.398,37.14409375000105,True,15.023547191336244,5.67954724,5465.1235,5526.0,Y106,5528.734811777099,69.86436208104715,0.19983031,25.728,449
Y106,37885,8,62490.631,7.622906249998778,True,15.023547191154844,5.26387745,8014.34244,8044.0,Y106,7562.989031366305,69.86436208104715,0.19983031,25.728,449
Y106,44389,11,62575.415,77.16109375000087,True,15.023547191210769,6.52727312,2503.28115,2504.0,Y106,2150.8000762604806,69.86436208104715,0.19983031,25.728,449
Y106,40925,11,62530.424,32.17009374999907,True,15.023547191424017,5.57152918,6036.80579,5883.0,Y106,6143.897568995881,69.86436208104715,0.19983031,25.728,449
Y106,37500,11,62485.631,12.622906249998778,True,15.023547191280455,5.88532225,4521.57747,4519.0,Y106,4485.2150886327245,69.86436208104715,0.19983031,25.728,449
Y106,41691,13,62540.402,42.14809375000186,True,15.023547191365049,5.82034757,4800.42677,4723.0,Y106,4913.93710955371,69.86436208104715,0.19983031,25.728,449
Y106,37120,14,62480.657,17.596906250000757,True,15.023547191392806,7.20896473,1336.0816,1335.0,Y106,1290.1220537679555,69.86436208104715,0.19983031,25.728,449
Y106,42076,15,62545.402,47.14809375000186,True,15.02354719107066,5.94964098,4261.49992,4242.0,Y106,4169.965811176797,69.86436208104715,0.19983031,25.728,449
Y106,42847,17,62555.407,57.15309374999924,True,15.023547191234734,6.21225133,3345.9415,3265.0,Y106,3369.597208160585,69.86436208104715,0.19983031,25.728,449
