filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,42847,5,62555.407,3.5383125000007567,True,15.023547190711765,2.85230551,73874.8604,73494.0,Y106,73561.19761361525,60.04803734291636,0.97205013,23.618,381
Y106,43623,7,62565.437,6.491687499998079,True,15.023547191095384,2.60903472,92428.3053,92483.0,Y106,92353.15396842186,60.04803734291636,0.97205013,23.618,381
Y106,44784,9,62580.467,21.521687499996915,True,15.02354719071909,2.79408703,77944.2468,78323.0,Y106,77736.59888761291,60.04803734291636,0.97205013,23.618,381
Y106,42076,9,62545.402,13.543312499998137,True,15.023547190691332,5.33986079,7472.64861,7447.0,Y106,7360.563412124188,60.04803734291636,0.97205013,23.618,381
Y106,43618,9,62565.411,6.465687500000058,True,15.023547190664754,2.60943127,92394.5532,92128.0,Y106,91793.70911236119,60.04803734291636,0.97205013,23.618,381
Y106,44783,13,62580.463,21.517687500003376,True,15.0235471907712,2.79403102,77948.268,77904.0,Y106,77909.86284166787,60.04803734291636,0.97205013,23.618,381
Y106,44393,15,62575.437,16.49168749999808,True,15.023547190671811,2.66727502,87600.9605,87948.0,Y106,89134.51014007765,60.04803734291636,0.97205013,23.618,381
Y106,42086,15,62545.454,13.491312500002095,True,15.023547190955634,5.30788213,7696.0171,7805.0,Y106,7717.868994255925,60.04803734291636,0.97205013,23.618,381
Y106,43242,16,62560.458,1.5126874999987194,True,15.023547190844974,2.67600364,86899.5288,87040.0,Y106,86864.28930647271,60.04803734291636,0.97205013,23.618,381
Y106,43622,18,62565.433,6.487687499997264,True,15.02354719102599,2.60909571,92423.1131,92780.0,Y106,93032.10255481822,60.04803734291636,0.97205013,23.618,381
