filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,47899,1,62620.648,6.266062499998952,True,15.023547191178885,4.28820269,19685.1079,19622.0,Y106,19650.365104477714,10.089969952270621,2.0891314,20.966,320
Y106,50596,3,62655.661,28.746937500000058,True,15.023547191232753,4.62076636,14491.4664,14349.0,Y106,14900.66860659719,10.089969952270621,2.0891314,20.966,320
Y106,47904,3,62620.674,6.240062500000931,True,15.023547191455494,4.287007,19706.7985,19696.0,Y106,19697.766954021667,10.089969952270621,2.0891314,20.966,320
Y106,51745,5,62670.631,43.71693750000122,True,15.023547191473176,5.0960858,9353.72408,9305.0,Y106,9313.534250427298,10.089969952270621,2.0891314,20.966,320
Y106,48673,5,62630.669,3.754937500001688,True,15.023547190992883,4.37374537,18193.6874,18545.0,Y106,18998.502463581553,10.089969952270621,2.0891314,20.966,320
Y106,52125,6,62675.605,48.6909375000032,True,15.023547191238064,5.35789343,7349.5628,7325.0,Y106,7284.793408027677,10.089969952270621,2.0891314,20.966,320
Y106,50981,8,62660.661,33.74693750000006,True,15.023547191331614,4.66467367,13917.1212,13908.0,Y106,13904.223645508722,10.089969952270621,2.0891314,20.966,320
Y106,47514,9,62615.648,11.266062499998952,True,15.023547191476231,4.76956184,12635.5498,12664.0,Y106,12633.103267136103,10.089969952270621,2.0891314,20.966,320
Y106,51360,15,62665.631,38.71693750000122,True,15.023547191345699,4.81454298,12122.765,11979.0,Y106,11813.225061336752,10.089969952270621,2.0891314,20.966,320
Y106,50980,18,62660.657,33.74293749999924,True,15.023547191205838,4.66459058,13918.1862,13885.0,Y106,13719.78626918116,10.089969952270621,2.0891314,20.966,320
