filter,Pointing,SCA,date,offpeak_time,DETECTED,zeropoint,true mag,true flux,realized flux,BAND,measured_flux,confusion_metric,host_sep,host_mag_g,grid points
Y106,52505,1,62680.579,3.4014687500020955,True,15.023547190907099,4.70611697,13395.9058,13455.0,Y106,13968.998811590616,565.642625704364,0.22312619,24.231,461
Y106,53650,3,62695.527,11.546531250001863,True,15.023547191026058,4.71169734,13327.2314,13451.0,Y106,14224.359832188704,565.642625704364,0.22312619,24.231,461
Y106,53270,6,62690.553,6.572531249999884,True,15.023547191090838,4.65656672,14021.4261,14001.0,Y106,14743.549115475409,565.642625704364,0.22312619,24.231,461
Y106,52510,7,62680.605,3.3754687499967986,True,15.023547190989254,4.70561579,13402.091,13516.0,Y106,13822.043422700539,565.642625704364,0.22312619,24.231,461
Y106,52890,9,62685.579,1.5985312499979045,True,15.02354719111458,4.65319139,14065.0836,14244.0,Y106,14242.840362220508,565.642625704364,0.22312619,24.231,461
Y106,52885,11,62685.553,1.5725312499998836,True,15.023547190825079,4.65329165,14063.7849,14099.0,Y106,13633.151637788316,565.642625704364,0.22312619,24.231,461
Y106,53645,13,62695.501,11.520531249996566,True,15.023547190906479,4.71133106,13331.7282,13270.0,Y106,12829.187177587368,565.642625704364,0.22312619,24.231,461
Y106,53265,14,62690.527,6.546531250001863,True,15.023547190890882,4.65639675,14023.6213,13911.0,Y106,13548.089066363982,565.642625704364,0.22312619,24.231,461
Y106,51740,17,62670.605,13.375468749996799,True,15.023547190685395,5.22274464,8323.78816,8419.0,Y106,7717.36519648473,565.642625704364,0.22312619,24.231,461
Y106,52500,18,62680.553,3.4274687500001164,True,15.02354719085538,4.70661841,13389.7205,13641.0,Y106,14521.213962845008,565.642625704364,0.22312619,24.231,461
